"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/d5afbc1a5906c3c386376e82d9930d29c60812ccf897833fb4dde99e73520914","Zemst"
"http://data.lblod.info/id/bestuurseenheden/a16924910bf18adbc3f4c1f8a80e8ed653c1bb8a6df289d23907b5400ed05bb4","Tervuren"
"http://data.lblod.info/id/bestuurseenheden/c895809729a165666fc111a40affe229f3c8e8f1ce9dec2dcc1be1ed81b52d9b","Aalter"
"http://data.lblod.info/id/bestuurseenheden/cc1d56b39041957b17f7a24e80076b633e0ae7c582e616806b7112aff8e62efb","Maldegem"
"http://data.lblod.info/id/bestuurseenheden/881c65df7571ff558932068e7b6ac5becc9ec03cf078f802f6b5088911a7538e","Sint-Gillis-Waas"
"http://data.lblod.info/id/bestuurseenheden/de085ffd17e2b1b37a6069ddf36a4d6b2108e89a095c3143c620759351ac9cd1","Hoogstraten"
"http://data.lblod.info/id/bestuurseenheden/7f2c5143806d6110feb44eba2a91d58e8fd563465b94d0f6b40d13a6a1740940","Wemmel"
"http://data.lblod.info/id/bestuurseenheden/45f432ac38d124141638c62f7afd577ab847c3571061b45e3b0b3329f6194048","Kraainem"
"http://data.lblod.info/id/bestuurseenheden/3b38fbd322454a0e9d1e9fdb290d6d9629b1db6ae476afcaed2035f339cbc5a6","Ternat"
"http://data.lblod.info/id/bestuurseenheden/8491a95c3ca6442b38a1359131dd348299ec1ec9d5316f18d1040e71cc75914f","Lendelede"
"http://data.lblod.info/id/bestuurseenheden/b8bf3d26396dc67722019c522d3a0bff2c6f5930694f3c685f6384e2e6e0b2b4","Grobbendonk"
"http://data.lblod.info/id/bestuurseenheden/12c39e825df9ac4d6ff12092055d73b8f40834aee307f5ef0b7551f301d0dfcc","Essen"
"http://data.lblod.info/id/bestuurseenheden/68f178f0390b63b5f0c48c9d0e3e91f0b8747155189f121c129dd749dcf52906","Damme"
"http://data.lblod.info/id/bestuurseenheden/1f13a3d2716c49cede296f15407d50def7afeb10c2d7d9cff9d4bc774eb01793","Leopoldsburg"
"http://data.lblod.info/id/bestuurseenheden/48fa9ea1578a67db52d3fd572e82ece0577a80239c4438d32dadb612c5b7d09f","Hamont-Achel"
"http://data.lblod.info/id/bestuurseenheden/45cb23b65f3c877676288af3818da3cfeb6c6fd03fd81b4b0036ae7e02d3f5b5","Vosselaar"
"http://data.lblod.info/id/bestuurseenheden/875f34f4563fad2ee7f2fba955ca78ea017f1d716c08c49235bd1cdbb625b77b","Jabbeke"
"http://data.lblod.info/id/bestuurseenheden/59bea65e87e95619e4c14ba593ef00009a99af8f44628c535fa7dc6c751e8e38","Poperinge"
"http://data.lblod.info/id/bestuurseenheden/54f52dd240e24ac891f9ec97506fe248ba17cb46a84aac4da6f1916bb3111022","Zandhoven"
"http://data.lblod.info/id/bestuurseenheden/bbdf96b9ca27ee19cf518be59285fc892677a0c77b9bb22172f09d93e729fa14","Dentergem"
"http://data.lblod.info/id/bestuurseenheden/44f5a21d4631e391019d4d93bc700b64ad7c44f5d3be25522a003c5043ee3097","Hemiksem"
"http://data.lblod.info/id/bestuurseenheden/da963630eb61b9107c5db60ccc3b0bbc5b8954d0fc872b6e39c224c447bd450f","Wuustwezel"
"http://data.lblod.info/id/bestuurseenheden/0b5d1664b3cf08550bcfdac0f4b195ab7a46a0f1974726de864dc0edb1565ecc","Linkebeek"
